사용월,호선명,지하철역,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,작업일자
202210,우이신설선,삼양,2764,1109,6776,1569,7815,3406,5247,2677,3910,2794,3971,2535,3747,3062,3598,3514,3426,3488,3245,4517,3528,5005,2973,5103,2539,6307,1667,5605,1255,3342,693,3024,508,2546,276,1397,20221103
202210,우이신설선,삼양사거리,3112,1069,7881,2025,9786,4377,6868,3329,5467,3180,4665,3469,5196,3986,5093,4291,4051,4465,4190,5682,3897,6477,4053,6323,3658,7970,2661,6658,1737,3793,1348,3526,1008,2864,390,1586,20221103
202210,우이신설선,성신여대입구(돈암),1257,1435,3909,4302,7270,10513,4967,7517,4399,6591,4946,6729,5675,6981,5798,7535,6017,7517,6496,7361,7416,8338,8094,9454,9396,12070,6450,7351,5654,4534,6416,3414,5505,2700,2402,1861,20221103
202210,우이신설선,솔밭공원,3925,987,10538,1558,10732,2908,7076,2592,5156,2827,4627,2880,4615,3410,4189,3894,3812,4199,4037,4430,3928,5156,3319,5775,2589,7515,1528,7090,1078,4569,759,3856,663,3373,309,2475,20221103
202210,우이신설선,솔샘,9959,1618,29121,3472,28741,4786,17164,3325,11304,3729,9643,4069,10199,5207,8815,5833,6932,6900,6849,8799,7534,11714,6546,14816,5182,22653,3207,20739,2098,11877,1594,11138,1391,9729,477,5936,20221103
202210,우이신설선,신설동,992,2243,1570,5392,2541,12031,2041,8747,2240,4734,2765,3828,3014,3903,3401,4291,3765,2955,4778,2459,6147,2668,7657,2507,9643,2140,4519,1379,3265,1003,3074,864,2142,924,722,570,20221103
202210,우이신설선,정릉,5836,1987,14802,3607,17845,7269,13837,5228,10512,4685,9189,4912,9509,5525,9080,6038,8054,6825,7476,8343,8383,10028,8861,11577,8782,16510,4485,12539,3099,7628,2775,6997,1921,5833,988,3311,20221103
202210,우이신설선,화계,4193,1429,13026,2598,14422,5297,9252,4999,7062,4495,6764,4245,7326,4728,6630,5178,5605,5068,5306,5633,5861,7246,4535,7678,4259,9896,2888,9498,1761,5440,1394,4966,918,4506,429,2512,20221103
202210,일산선,대곡,3667,1463,9991,2718,8650,3450,4707,2095,3010,2014,2895,2015,2963,2070,3042,2048,2655,2184,3016,2441,3553,2877,4614,3430,5168,6765,2247,5397,1307,2814,1403,2930,928,2380,521,2238,20221103
202210,일산선,대화,25981,5436,63210,13841,46187,19909,30946,15354,24451,14610,21777,14740,21674,17127,19443,18264,18644,17639,21069,20312,25258,18294,30863,26298,22511,30347,11824,31526,9281,20198,6486,17018,4151,15529,1313,10162,20221103
202210,일산선,마두,10060,4441,16115,7995,17417,21592,13726,13998,14275,11832,14077,11704,13826,10506,13300,14252,13593,13270,15414,13396,15951,14110,17317,16127,17001,18551,7590,16715,5600,10325,5501,8597,4351,8168,1235,5353,20221103
202210,일산선,백석,10477,6459,21871,12300,24161,26089,17623,14826,16119,13465,16957,13074,16750,14172,17184,15755,16351,15919,18597,16486,19067,19189,23388,21718,24204,26129,12545,24422,9899,14423,9941,12055,7142,10500,2658,7270,20221103
202210,일산선,삼송,31641,8263,81076,16059,78317,27635,44634,21202,33948,17942,29730,19164,30414,24064,28042,25720,25632,26873,27247,32900,31418,37670,34243,50473,32797,70633,20584,61758,15644,36933,12905,36197,12355,28661,3361,15720,20221103
202210,일산선,원당,19946,7010,44150,8938,44882,13891,28514,10151,21728,9727,19710,11404,19773,12516,18385,12468,15609,14748,15990,18350,17593,22294,18110,27597,15753,37762,8662,34023,6065,21731,4875,20462,3147,17246,1031,10801,20221103
202210,일산선,원흥,17280,4472,45931,6987,48944,16653,28502,11273,20816,9268,18074,9183,18276,11082,17151,13081,15066,13258,14395,16904,15297,20542,16812,28531,19184,37591,9120,38391,7290,22343,6320,20908,4545,18385,2225,11769,20221103
202210,일산선,정발산,5426,3259,8697,6285,10142,20753,8506,19955,8505,16816,10714,17380,11844,16198,14113,18371,15850,16343,19285,16015,20947,16389,24191,17693,27223,18111,14159,15035,14372,8147,9878,6476,7552,5209,2704,3835,20221103
202210,일산선,주엽,16517,3443,27973,7137,28576,14957,20806,12909,18425,12304,18442,12212,17255,14011,16168,16690,15146,15663,16648,19055,17271,20546,16323,24649,14203,26421,8169,25215,7138,15515,6193,12754,4283,10996,1181,8461,20221103
202210,일산선,지축,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,2,0,0,0,0,0,0,0,20221103
202210,일산선,화정,24389,6480,53298,11747,56058,29799,35158,21230,29770,18715,28712,21422,30131,23212,28962,26179,26253,27852,27578,35087,30720,35724,31145,45418,29391,58869,15966,48349,14363,30841,13574,26953,10375,23983,4497,13916,20221103
202210,장항선,배방,1794,692,3706,1546,3366,2123,2772,1510,2193,1243,2016,1691,2028,1663,2269,2201,2213,1583,2026,1885,2161,3039,2416,3860,2480,3835,1602,3283,1143,2281,1033,2022,922,1458,552,1513,20221103
202210,장항선,봉명,1684,702,2400,3244,2949,4112,2372,3299,2849,2172,2687,1692,2349,1676,2524,2315,2267,1898,2486,1818,3159,1541,3388,2800,1787,2574,1010,1753,905,1377,657,1193,527,1139,536,819,20221103
202210,장항선,신창(순천향대),1380,624,2845,2866,1959,10727,2206,6348,3548,8202,4628,5037,4343,4475,6361,5462,6702,3398,6233,2527,10334,3249,7751,2404,8714,4300,2976,3202,2255,2981,2518,3569,847,2723,779,2528,20221103
202210,장항선,쌍용(나사렛대),4246,678,6782,1881,8580,7549,4412,5029,4690,3576,4719,3581,4793,6275,5110,3788,4528,3238,5797,4045,5947,4907,5346,7079,5331,6868,3098,5368,2395,4144,1674,3442,1919,3218,968,2679,20221103
202210,장항선,아산,2463,3445,6483,6049,8391,9502,5115,8027,5367,7981,6183,6154,6971,7815,7705,7462,8467,5808,10308,6552,9016,6957,10071,9314,13523,9749,10523,6435,6076,5080,7540,3428,6828,2496,3915,1645,20221103
202210,장항선,온양온천,4388,2728,9452,5890,10872,7835,9398,8855,9398,9674,9278,13491,10409,11253,12455,10263,12147,7374,11212,8256,10839,9871,8291,9703,9952,11916,4601,8540,3043,6116,2553,5842,1702,3939,1062,3216,20221103
202210,장항선,탕정,1446,621,3374,1417,2984,1900,1934,1003,1836,1118,1625,1123,1794,1344,1890,1597,2237,1129,2144,1360,2272,2335,2663,2857,2239,3144,1279,2507,865,2018,906,1679,734,1386,446,1267,20221103
202210,중앙선,구리,21252,7104,60766,8819,53567,19457,30985,15777,23188,15804,21162,14554,21565,14713,19688,19234,18074,18733,19170,24105,21177,28419,23141,37063,21682,53739,13540,47351,11790,26141,7966,21982,6450,20526,1893,14433,20221103
202210,중앙선,국수,1199,421,2358,860,1888,2139,2050,1268,1554,1702,1363,1694,1515,1477,1746,1319,1509,1166,2950,1673,2722,1683,1720,1881,1131,2037,532,1416,494,1505,278,1403,226,870,52,556,20221103
202210,중앙선,덕소,9772,2282,26001,4366,20862,7849,14436,6380,12135,5956,10689,5446,9826,7160,9367,7984,8467,7875,8265,10789,8883,12754,8911,16872,7774,20040,4528,17469,3569,9653,2635,10379,2191,8458,879,7075,20221103
202210,중앙선,도농,22846,5552,61467,8524,44481,15438,30695,8253,21463,7723,18928,8096,16971,9801,14783,11337,13021,12930,12883,17439,16202,21227,18347,28809,14972,41963,7461,36786,5587,21495,4265,17643,2918,16059,1034,12746,20221103
202210,중앙선,도심,5655,1554,13143,1796,9075,6548,6168,2440,4676,1788,3823,1868,3880,2208,3434,2451,3078,1958,3199,3681,4429,3017,3683,6285,3662,5494,1422,5843,1107,3350,969,3201,750,3460,212,2017,20221103
202210,중앙선,망우,12346,3231,30704,6112,26614,14148,17910,9933,14131,10205,13367,9980,13506,10241,13144,11967,12244,12458,12129,14184,13167,18347,13454,21508,14020,29565,9479,21641,6233,13684,5109,9901,3594,9877,1299,6422,20221103
202210,중앙선,상봉(시외버스터미널),8580,2276,21412,4970,24271,8422,14880,6176,10404,4936,8472,6294,10060,7105,8552,7588,8190,7813,7920,9750,7976,11645,9140,14932,9458,23901,6450,19397,4837,11057,4571,9054,2891,9759,1327,5743,20221103
202210,중앙선,신원,191,257,498,696,402,457,420,734,405,814,366,525,560,410,580,342,719,315,1046,296,1028,304,722,382,724,342,220,227,131,208,58,146,34,184,12,128,20221103
202210,중앙선,아신,843,298,1875,689,1561,1409,1301,1310,1542,1466,1251,1432,1203,1374,1362,976,1338,1139,1558,1279,2024,1394,1695,1840,1277,1347,777,1129,482,972,275,1206,199,749,20,668,20221103
202210,중앙선,양수,1920,1227,6402,2637,4669,4126,4920,5178,3706,5210,3919,4858,4049,4778,4611,4269,4926,4296,6673,3691,7210,4243,6426,5155,4545,4303,2170,4735,1448,3259,1053,2792,548,2350,169,1728,20221103
202210,중앙선,양원,4483,1923,13778,7109,10562,6499,7123,2577,5620,3237,4264,3242,4858,2731,4447,3868,4071,3240,4938,4243,7324,5262,4835,6453,3943,9099,2316,8992,1485,5684,1223,3965,752,4325,294,2643,20221103
202210,중앙선,양정,797,1288,2037,2353,1516,2616,993,1700,1004,1356,1114,837,1049,978,1329,765,1533,839,1677,862,2081,992,2955,1063,2457,1227,815,974,542,519,385,472,146,385,55,391,20221103
202210,중앙선,양평,3852,2885,7517,4177,6198,8875,5547,5791,6925,6080,5630,8090,6940,8364,7936,5591,8357,6504,8300,7058,9633,6600,8357,8935,7355,7744,3840,5111,3410,5751,2404,3450,1855,2945,273,3185,20221103
202210,중앙선,오빈,551,302,931,358,1178,795,936,537,897,651,561,603,598,524,650,513,634,463,628,666,757,750,914,1071,548,792,345,691,184,411,128,589,45,380,8,354,20221103
202210,중앙선,용문,2326,979,3711,2908,4962,4552,3683,3734,3994,5067,3912,16864,5224,12289,7870,5465,10325,5988,13281,3666,11440,5370,7902,5401,4436,3963,2249,3328,1092,3431,858,2034,313,1592,1,1572,20221103
202210,중앙선,운길산,659,598,1525,787,2296,1666,1207,3687,1117,5404,1306,4495,1691,4062,2519,2052,3750,2319,5489,1698,4895,1611,4271,1356,2537,1393,1098,1340,613,644,375,700,137,585,29,390,20221103
202210,중앙선,원덕,707,196,761,549,1183,857,1130,748,1058,1109,817,1168,827,1075,902,545,1223,803,1217,907,1416,754,1059,1170,739,928,365,708,185,515,75,666,24,330,1,264,20221103
202210,중앙선,중랑,9658,2106,22814,3265,22219,6481,16392,5722,10574,4889,9512,5233,9852,6395,9685,7149,8001,7389,7629,10287,8090,12446,7823,16502,7762,21864,5075,17119,3807,11347,2900,9069,2080,9441,963,5401,20221103
202210,중앙선,지평,1,0,376,393,248,123,5,0,417,559,2,2,1,0,131,155,507,352,1,1,2,0,153,198,49,88,194,271,0,2,33,105,17,57,0,0,20221103
202210,중앙선,팔당,734,823,1660,1976,1649,3769,1640,4359,1627,3932,1496,3240,1621,3173,1922,2039,2418,2271,2973,2367,3651,2376,3991,2078,3265,2311,2233,1308,1908,760,1460,590,852,503,130,197,20221103
202210,중앙선,회기,21794,14176,55884,30049,74763,63871,51672,47341,41821,41607,43156,36937,48388,38582,47643,41211,48584,38279,54726,38230,65089,43422,71476,56717,57625,82119,33229,60319,28552,40276,29987,41406,26891,44632,12868,30509,20221103
